;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Chicken Rest of South Asia Intensity (tCO2e/t);2,47989;2,386783798;2,304844667;2,22137819;2,135076607;2,051406024;1,99529219;1,942055857;1,891789083;1,84633994;1,794210214;1,751570381;1,709963369;1,669579548;1,630056298;1,590734167;1,559362345;1,526257857;1,4940295;1,462553238;1,429726107;1,40086169;1,372485274;1,348496631;1,328031012;1,306542988;1,288411917;1,272155357;1,259834381;1,247076071;1,230797071;1,218739119;1,20165219;1,185839821;1,16766456;1,147473
Chicken Rest of Southern Africa Intensity (tCO2e/t);2,538040548;3,208764798;3,131853333;3,059900905;2,982968869;2,903963179;2,827286464;2,759083095;2,691948024;2,625027988;2,557190905;2,266345643;2,211035417;2,154071274;2,098390155;2,049084548;2,118689908;2,069691986;2,021487398;1,972801915;1,931591273;1,83919909;1,801926504;1,768026333;1,739478032;1,715049229;1,554142725;1,536660483;1,517941277;1,50006344;1,490364638;1,180478893;1,162357479;1,140737337;1,118436912;1,098105093
Chicken Russia Region Intensity (tCO2e/t);2,461609625;2,401616157;2,344903074;2,282849924;2,220508833;2,161844927;2,101270682;2,043290311;1,987514745;1,930424548;1,879707431;1,840521207;1,80310064;1,765319287;1,72620189;1,69317682;1,658694445;1,627630726;1,592958782;1,56084046;1,533863258;1,504341869;1,475476264;1,451107145;1,42753012;1,40840525;1,387914791;1,368583234;1,350565195;1,335051021;1,322629133;1,303728594;1,286983831;1,267494266;1,24539558;1,228063431
Chicken South Africa Intensity (tCO2e/t);0,954082717;1,111206321;1,082502081;1,052871625;1,022545026;0,994621324;1,000773129;0,980659612;0,961609095;0,943995388;0,924314096;0,801150062;0,787440527;0,773741612;0,760001733;0,746353983;0,733242331;0,718383192;0,705720587;0,693853185;0,682438218;0,642920663;0,633668095;0,626204731;0,620555842;0,615107767;0,600125848;0,596253392;0,59281419;0,589679293;0,585660111;0,581211274;0,576418983;0,571215586;0,564683567;0,556448694
Chicken Southeast Asia Intensity (tCO2e/t);2,043077583;2,029562738;1,99759575;1,95994425;1,92063869;1,885028036;1,883649048;1,860723524;1,835928274;1,811637583;1,785571702;1,810784167;1,785124714;1,758603845;1,730066452;1,700716119;1,754339738;1,737598464;1,724281845;1,711112036;1,696441369;1,629593464;1,616586167;1,603263143;1,592437881;1,582213071;1,469592083;1,45568631;1,441666238;1,428889952;1,417963786;1,33835944;1,311602298;1,282777786;1,253586488;1,223450893
Chicken Turkey Intensity (tCO2e/t);4,239629149;4,10737222;3,976995507;3,85221059;3,714011555;3,588622244;3,49366773;3,399931387;3,309436994;3,221501445;3,134165863;3,06591689;2,997356562;2,933160075;2,868517592;2,802971531;2,741572765;2,681735316;2,620621804;2,559985718;2,506900826;2,450324776;2,398490138;2,347409643;2,299929289;2,262927543;2,217576595;2,178119191;2,142188117;2,103990478;2,074019012;2,033020588;1,993122627;1,949446153;1,906395792;1,864511007
Chicken Ukraine Region Intensity (tCO2e/t);2,675180667;2,605061964;2,534855536;2,46282375;2,387896357;2,311274012;2,242162345;2,169867107;2,103667952;2,039330929;1,970382143;1,925904548;1,881889083;1,836982357;1,793516893;1,746563238;1,709292857;1,67055844;1,633412333;1,596043619;1,561390726;1,5270995;1,493913274;1,464749631;1,439496619;1,415910369;1,392540845;1,371977631;1,352078202;1,335306048;1,31733556;1,29718825;1,278566667;1,256638274;1,233710964;1,209779381
Chicken USA Intensity (tCO2e/t);2,402509369;2,335810467;2,264143874;2,190320221;2,116170508;2,044535535;1,977710613;1,9194421;1,862276962;1,8074897;1,754866507;1,721160875;1,679820144;1,637381638;1,596545205;1,557698977;1,518614226;1,486614126;1,454412148;1,423595096;1,396941419;1,383936681;1,356560379;1,332759993;1,311941786;1,296343687;1,263790136;1,248179849;1,233745371;1,221120487;1,211479369;1,203501444;1,189248021;1,171705324;1,153254011;1,135446479
Chicken Western Africa Intensity (tCO2e/t);2,45617681;3,255964679;3,155034417;3,057984226;2,962999012;2,877232607;2,901530429;2,820051702;2,738916024;2,664941821;2,596159726;2,3591575;2,298756095;2,239176548;2,182444512;2,129795214;2,000527464;1,958721083;1,924415714;1,887147714;1,851020893;1,31624931;1,292409369;1,27247156;1,255032726;1,239755345;1,188636476;1,17531394;1,158892798;1,145565286;1,132561167;1,129367155;1,112272119;1,090023321;1,067578869;1,047999512
Chicken Western Europe Intensity (tCO2e/t);1,974646539;1,928079567;1,878217893;1,829015707;1,776492676;1,723209469;1,684898973;1,649252239;1,615179826;1,581496782;1,545395577;1,519562276;1,494284418;1,469163408;1,444134727;1,417941246;1,400310052;1,37734961;1,355868655;1,333242294;1,312663205;1,29876643;1,279066727;1,261719321;1,249035226;1,237891293;1,220418739;1,213888998;1,205256145;1,198248515;1,195768312;1,182555915;1,173513225;1,163655968;1,152220256;1,13874203
Chicken World Intensity (tCO2e/t);2,035825412;1,98242215;1,930057023;1,875456966;1,819869315;1,765050244;1,715069822;1,677343317;1,641604729;1,606452539;1,571528562;1,521986492;1,493479526;1,464758941;1,436033655;1,407614575;1,412902349;1,388393226;1,364200416;1,340828838;1,319469829;1,317445304;1,296370776;1,278007077;1,262769089;1,251008966;1,203306142;1,192042048;1,181884484;1,172928341;1,165516335;1,11856286;1,105392052;1,089823736;1,072714642;1,055435736
Dairy Brazil Intensity (tCO2e/t);2,238489026;2,200479603;2,174128557;2,143926349;2,117551671;2,090714627;2,061191442;2,042996817;2,020371002;2,002262313;1,980288454;1,94023036;1,921466635;1,898807853;1,879286748;1,860710668;1,874802948;1,856329237;1,841830437;1,824402422;1,807149662;1,816656938;1,79908964;1,782213477;1,769637659;1,754689403;1,715317177;1,698789334;1,681706141;1,665436589;1,650023915;1,598913351;1,577390929;1,555641304;1,534216309;1,51618797
