";2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050"
"ES.RMF.GHG-INT (kg/sqm);16,6981464;15,51396609;14,24867768;13,03944962;11,82517714;10,77522075;9,707701129;8,707873982;7,798864557;6,94756628;6,113130763;5,421136674;4,747166933;4,124056429;3,54505439;3,009660989;2,48698693;2,029246848;1,642335723;1,333855131;1,087805623;0,950593544;0,847047503;0,756747613;0,678686591;0,60634576;0,55428977;0,50485854;0,461463479;0,421972403;0,384755068"
"SE.RMF.GHG-INT (kg/sqm);3,979494965;3,724325877;3,475564801;3,232745973;2,959508458;2,742612905;2,516905038;2,291423604;2,094609855;1,907703399;1,716453707;1,561153226;1,405574225;1,261043144;1,124664597;0,996602184;0,862211188;0,749233211;0,652681547;0,575131968;0,512863295;0,479032737;0,45377353;0,431666576;0,412531059;0,394609318;0,382115139;0,370093245;0,359548307;0,349883909;0,340625809"
"UK.RMF.GHG-INT (kg/sqm);28,18289511;26,14611639;24,07475542;22,08396992;19,98892623;18,24649075;16,46504118;14,75010278;13,22401492;11,79003443;10,3616626;9,189913172;8,038565936;6,975749191;5,984704331;5,065057721;4,13757384;3,345812276;2,674593278;2,138113673;1,709129031;1,47025906;1,289848861;1,132107879;0,995404474;0,868278159;0,776765584;0,68952281;0,612671269;0,542426403;0,475866"
"HR.RMF.GHG-INT (kg/sqm);25,39846518;23,08354947;21,51529538;19,99196488;17,74367317;16,39361573;14,99435576;13,33420526;12,11848725;10,96585592;9,679994801;8,724819828;7,73510712;6,85148565;6,019591339;5,240007526;4,248200529;3,564069653;2,978827004;2,507153404;2,126605352;1,914444098;1,753149443;1,610627336;1,485725692;1,36802568;1,282320131;1,199396198;1,125182628;1,056193136;0,989676703"
"CH.RMF.GHG-INT (kg/sqm);23,87679197;22,22744838;20,41128207;18,666012;16,9339802;15,41087561;13,86098548;12,42280562;11,10346348;9,868492204;8,664430028;7,661713352;6,687231144;5,784365985;4,945090999;4,168489993;3,420640817;2,755341029;2,192338062;1,742980268;1,384121818;1,184238388;1,033363826;0,901595918;0,787512253;0,681536257;0,605258034;0,532601566;0,468628638;0,410177553;0,354807464"
"NO.RMF.GHG-INT (kg/sqm);4,734764239;4,313459109;4,023491979;3,744602588;3,351814536;3,108061401;2,858437896;2,569768308;2,355724454;2,154287272;1,93305003;1,76805988;1,598921736;1,448661714;1,307970125;1,17709508;1,01224878;0,899124894;0,802967763;0,725899085;0,6640816;0,629536681;0,603343262;0,58035101;0,560206146;0,541387579;0,527703457;0,514598124;0,502972505;0,492280112;0,482097365"
"AT.OFF.GHG-INT (kg/sqm);45,26201443;40,38361325;37,78363447;35,28685431;30,82509417;28,62852207;26,36375882;23,24737903;21,28665915;19,43457568;17,17003258;15,64310062;13,99419474;12,59037061;11,27427631;10,04662351;8,091996508;7,01706675;6,103801206;5,374778113;4,793397332;4,481219888;4,250785254;4,050895782;3,87952589;3,720193298;3,611858995;3,508903814;3,421197009;3,344230482;3,275153151"
"BE.OFF.GHG-INT (kg/sqm);60,96786966;55,36436367;51,80741392;48,34782515;42,94190007;39,84576492;36,61212189;32,60583727;29,76737482;27,0644273;23,95605496;21,69884085;19,31970095;17,21031332;15,2169789;13,34264574;10,79161937;9,128758904;7,705061225;6,559126594;5,636684897;5,13308393;4,755272412;4,423216729;4,134411749;3,863028307;3,672191611;3,488889718;3,328990796;3,184874984;3,051152428"
"BG.OFF.GHG-INT (kg/sqm);62,41866883;56,96908395;52,55954937;48,33993362;43,07418072;39,40768435;35,67835144;31,67377252;28,49835051;25,52465449;22,38979973;19,97310391;17,5454327;15,36856846;13,34548827;11,47445;9,277232393;7,676064285;6,322857395;5,244588716;4,385258838;3,908311699;3,549540391;3,237156526;2,967627629;2,718006837;2,539530355;2,369999976;2,221357842;2,086016776;1,958139097"
"CY.OFF.GHG-INT (kg/sqm);143,7356629;131,8215278;120,7744351;110,1622372;98,19237902;88,99441467;79,74974492;70,46719347;62,70435652;55,49996592;48,22293071;42,44930225;36,79559119;31,71782065;27,05781758;22,808632;18,20299428;14,69485456;11,77869778;9,489472318;7,696039584;6,682089072;5,920660308;5,271431461;4,724267506;4,236938403;3,890174049;3,577639236;3,316552473;3,093106524;2,897210582"
